year,month,district,police_division,crime_type,crime_count,risk_zone,trend
2023,1,Ampara,Ampara Main,Total Crimes,89,High,Stable
2023,2,Ampara,Ampara Main,Total Crimes,93,High,Stable
2023,3,Ampara,Ampara Main,Total Crimes,89,High,Stable
2023,4,Ampara,Ampara Main,Total Crimes,86,High,Stable
2023,5,Ampara,Ampara Main,Total Crimes,112,High,Increasing
2023,6,Ampara,Ampara Main,Total Crimes,112,High,Stable
2023,7,Ampara,Ampara Main,Total Crimes,106,High,Stable
2023,8,Ampara,Ampara Main,Total Crimes,105,High,Stable
2023,9,Ampara,Ampara Main,Total Crimes,83,High,Decreasing
2023,10,Ampara,Ampara Main,Total Crimes,95,High,Increasing
2023,11,Ampara,Ampara Main,Total Crimes,107,High,Increasing
2023,12,Ampara,Ampara Main,Total Crimes,107,High,Stable
2023,1,Anuradhapura,Anuradhapura Main,Total Crimes,71,High,Stable
2023,2,Anuradhapura,Anuradhapura Main,Total Crimes,72,High,Stable
2023,3,Anuradhapura,Anuradhapura Main,Total Crimes,80,High,Increasing
2023,4,Anuradhapura,Anuradhapura Main,Total Crimes,76,High,Stable
2023,5,Anuradhapura,Anuradhapura Main,Total Crimes,76,High,Stable
2023,6,Anuradhapura,Anuradhapura Main,Total Crimes,87,High,Increasing
2023,7,Anuradhapura,Anuradhapura Main,Total Crimes,83,High,Stable
2023,8,Anuradhapura,Anuradhapura Main,Total Crimes,83,High,Stable
2023,9,Anuradhapura,Anuradhapura Main,Total Crimes,87,High,Stable
2023,10,Anuradhapura,Anuradhapura Main,Total Crimes,87,High,Stable
2023,11,Anuradhapura,Anuradhapura Main,Total Crimes,97,High,Increasing
2023,12,Anuradhapura,Anuradhapura Main,Total Crimes,100,High,Stable
2023,1,Anuradhapura,Anurdhapura Main,Abduction,1,Medium,Stable
2023,2,Anuradhapura,Anurdhapura Main,Abduction,1,Medium,Stable
2023,3,Anuradhapura,Anurdhapura Main,Abduction,2,High,Increasing
2023,4,Anuradhapura,Anurdhapura Main,Abduction,3,High,Increasing
2023,5,Anuradhapura,Anurdhapura Main,Abduction,3,High,Stable
2023,6,Anuradhapura,Anurdhapura Main,Abduction,2,High,Decreasing
2023,7,Anuradhapura,Anurdhapura Main,Abduction,3,High,Increasing
2023,8,Anuradhapura,Anurdhapura Main,Abduction,1,Medium,Decreasing
2023,9,Anuradhapura,Anurdhapura Main,Abduction,2,High,Increasing
2023,10,Anuradhapura,Anurdhapura Main,Abduction,1,Medium,Decreasing
2023,11,Anuradhapura,Anurdhapura Main,Abduction,3,High,Increasing
2023,12,Anuradhapura,Anurdhapura Main,Abduction,3,High,Stable
2023,1,Anuradhapura,Anurdhapura Main,Agriculture Theft > 50k,0,Low,Stable
2023,2,Anuradhapura,Anurdhapura Main,Agriculture Theft > 50k,0,Low,Stable
2023,3,Anuradhapura,Anurdhapura Main,Agriculture Theft > 50k,1,Medium,Stable
2023,4,Anuradhapura,Anurdhapura Main,Agriculture Theft > 50k,1,Medium,Stable
2023,5,Anuradhapura,Anurdhapura Main,Agriculture Theft > 50k,1,Medium,Stable
2023,6,Anuradhapura,Anurdhapura Main,Agriculture Theft > 50k,1,Medium,Stable
2023,7,Anuradhapura,Anurdhapura Main,Agriculture Theft > 50k,1,Medium,Stable
2023,8,Anuradhapura,Anurdhapura Main,Agriculture Theft > 50k,1,Medium,Stable
2023,9,Anuradhapura,Anurdhapura Main,Agriculture Theft > 50k,1,Medium,Stable
2023,10,Anuradhapura,Anurdhapura Main,Agriculture Theft > 50k,0,Low,Decreasing
2023,11,Anuradhapura,Anurdhapura Main,Agriculture Theft > 50k,1,Medium,Stable
2023,12,Anuradhapura,Anurdhapura Main,Agriculture Theft > 50k,1,Medium,Stable
2023,1,Anuradhapura,Anurdhapura Main,Arson,2,High,Stable
2023,2,Anuradhapura,Anurdhapura Main,Arson,2,High,Stable
2023,3,Anuradhapura,Anurdhapura Main,Arson,4,High,Increasing
2023,4,Anuradhapura,Anurdhapura Main,Arson,2,High,Decreasing
2023,5,Anuradhapura,Anurdhapura Main,Arson,4,High,Increasing
2023,6,Anuradhapura,Anurdhapura Main,Arson,4,High,Stable
2023,7,Anuradhapura,Anurdhapura Main,Arson,4,High,Stable
2023,8,Anuradhapura,Anurdhapura Main,Arson,2,High,Decreasing
2023,9,Anuradhapura,Anurdhapura Main,Arson,2,High,Stable
2023,10,Anuradhapura,Anurdhapura Main,Arson,2,High,Stable
2023,11,Anuradhapura,Anurdhapura Main,Arson,2,High,Stable
2023,12,Anuradhapura,Anurdhapura Main,Arson,4,High,Increasing
2023,1,Anuradhapura,Anurdhapura Main,Attempt to Murder,0,Low,Stable
2023,2,Anuradhapura,Anurdhapura Main,Attempt to Murder,0,Low,Stable
2023,3,Anuradhapura,Anurdhapura Main,Attempt to Murder,1,Medium,Stable
2023,4,Anuradhapura,Anurdhapura Main,Attempt to Murder,1,Medium,Stable
2023,5,Anuradhapura,Anurdhapura Main,Attempt to Murder,1,Medium,Stable
2023,6,Anuradhapura,Anurdhapura Main,Attempt to Murder,1,Medium,Stable
2023,7,Anuradhapura,Anurdhapura Main,Attempt to Murder,1,Medium,Stable
2023,8,Anuradhapura,Anurdhapura Main,Attempt to Murder,1,Medium,Stable
2023,9,Anuradhapura,Anurdhapura Main,Attempt to Murder,0,Low,Decreasing
2023,10,Anuradhapura,Anurdhapura Main,Attempt to Murder,1,Medium,Stable
2023,11,Anuradhapura,Anurdhapura Main,Attempt to Murder,1,Medium,Stable
2023,12,Anuradhapura,Anurdhapura Main,Attempt to Murder,1,Medium,Stable
2023,1,Anuradhapura,Anurdhapura Main,Cattle Theft > 50k,7,High,Stable
2023,2,Anuradhapura,Anurdhapura Main,Cattle Theft > 50k,9,High,Increasing
2023,3,Anuradhapura,Anurdhapura Main,Cattle Theft > 50k,9,High,Stable
2023,4,Anuradhapura,Anurdhapura Main,Cattle Theft > 50k,11,High,Increasing
