year,month,district,police_division,crime_type,crime_count,risk_zone,trend
2025,5,Colombo,,Robbery,297,Low,Stable
2025,3,Vavuniya,,Total Crimes,100,Low,Stable
2025,2,Colombo,,Drugs,400,High,Stable
2025,2,Colombo,,Drugs,200,Low,Stable
2025,1,Colombo,,Robbery,200,Low,Stable
2025,1,Colombo,,Total Crimes,12,High,Stable
2025,1,Colombo,,Total Crimes,12,High,Stable
2025,1,Colombo,,Total Crimes,12,High,Stable
2024,12,Women & Children'S Bureau,Women & Children'S Bureau Main,Statutory Rape (Non-consensual),1,High,Stable
2024,12,Women & Children'S Bureau,Women & Children'S Bureau Main,Statutory Rape (Consensual),1,Low,Stable
2024,12,Women & Children'S Bureau,Women & Children'S Bureau Main,Sexual Exploitation Of Children,0,High,Stable
2024,12,Women & Children'S Bureau,Women & Children'S Bureau Main,Robbery,0,Low,Stable
2024,12,Women & Children'S Bureau,Women & Children'S Bureau Main,Rape (Adult),1,High,Stable
2024,12,Women & Children'S Bureau,Women & Children'S Bureau Main,Property Theft > 50k,0,Low,Stable
2024,12,Women & Children'S Bureau,Women & Children'S Bureau Main,Offensive Weapons Act,0,Medium,Stable
2024,12,Women & Children'S Bureau,Women & Children'S Bureau Main,Offences Against The State,0,High,Stable
2024,12,Women & Children'S Bureau,Women & Children'S Bureau Main,Obstructing Police,0,Medium,Stable
2024,12,Women & Children'S Bureau,Women & Children'S Bureau Main,Narcotic Drugs,0,Low,Stable
2024,12,Women & Children'S Bureau,Women & Children'S Bureau Main,Murder,0,Low,Stable
2024,12,Women & Children'S Bureau,Women & Children'S Bureau Main,Mischief > 50k,0,Low,Stable
2024,12,Women & Children'S Bureau,Women & Children'S Bureau Main,Kidnapping,0,Low,Stable
2024,12,Women & Children'S Bureau,Women & Children'S Bureau Main,Illegal Firearms,0,Medium,Stable
2024,12,Women & Children'S Bureau,Women & Children'S Bureau Main,Hurt by Dangerous Weapons,0,Low,Stable
2024,12,Women & Children'S Bureau,Women & Children'S Bureau Main,Human Trafficking,0,High,Stable
2024,12,Women & Children'S Bureau,Women & Children'S Bureau Main,House Breaking,0,Low,Stable
2024,12,Women & Children'S Bureau,Women & Children'S Bureau Main,Grievous Hurt,1,Low,Stable
2024,12,Women & Children'S Bureau,Women & Children'S Bureau Main,Grave Sexual Abuse,1,Medium,Stable
2024,12,Women & Children'S Bureau,Women & Children'S Bureau Main,Extortions,0,Medium,Stable
