year,month,district,crime_type,crime_count
2022,1,Whole Island,Abduction,41
2022,2,Whole Island,Abduction,39
2022,3,Whole Island,Abduction,47
2022,4,Whole Island,Abduction,52
2022,5,Whole Island,Abduction,51
2022,6,Whole Island,Abduction,51
2022,7,Whole Island,Abduction,58
2022,8,Whole Island,Abduction,48
2022,9,Whole Island,Abduction,43
2022,10,Whole Island,Abduction,47
2022,11,Whole Island,Abduction,50
2022,12,Whole Island,Abduction,55
2022,1,Whole Island,Agriculture Theft > 50k,3
2022,2,Whole Island,Agriculture Theft > 50k,3
2022,3,Whole Island,Agriculture Theft > 50k,3
2022,4,Whole Island,Agriculture Theft > 50k,4
2022,5,Whole Island,Agriculture Theft > 50k,5
2022,6,Whole Island,Agriculture Theft > 50k,6
2022,7,Whole Island,Agriculture Theft > 50k,5
2022,8,Whole Island,Agriculture Theft > 50k,3
2022,9,Whole Island,Agriculture Theft > 50k,5
2022,10,Whole Island,Agriculture Theft > 50k,5
2022,11,Whole Island,Agriculture Theft > 50k,5
2022,12,Whole Island,Agriculture Theft > 50k,5
2022,1,Whole Island,Arson,34
2022,2,Whole Island,Arson,36
2022,3,Whole Island,Arson,37
2022,4,Whole Island,Arson,43
2022,5,Whole Island,Arson,45
2022,6,Whole Island,Arson,46
2022,7,Whole Island,Arson,45
2022,8,Whole Island,Arson,48
2022,9,Whole Island,Arson,41
2022,10,Whole Island,Arson,37
2022,11,Whole Island,Arson,50
2022,12,Whole Island,Arson,47
2022,1,Whole Island,Attempt to Murder,8
2022,2,Whole Island,Attempt to Murder,6
2022,3,Whole Island,Attempt to Murder,8
2022,4,Whole Island,Attempt to Murder,9
2022,5,Whole Island,Attempt to Murder,12
2022,6,Whole Island,Attempt to Murder,11
2022,7,Whole Island,Attempt to Murder,11
2022,8,Whole Island,Attempt to Murder,9
2022,9,Whole Island,Attempt to Murder,8
2022,10,Whole Island,Attempt to Murder,8
2022,11,Whole Island,Attempt to Murder,10
2022,12,Whole Island,Attempt to Murder,13
2022,1,Whole Island,Cattle Theft > 50k,51
2022,2,Whole Island,Cattle Theft > 50k,43
2022,3,Whole Island,Cattle Theft > 50k,59
2022,4,Whole Island,Cattle Theft > 50k,55
2022,5,Whole Island,Cattle Theft > 50k,62
2022,6,Whole Island,Cattle Theft > 50k,69
2022,7,Whole Island,Cattle Theft > 50k,71
2022,8,Whole Island,Cattle Theft > 50k,62
2022,9,Whole Island,Cattle Theft > 50k,53
2022,10,Whole Island,Cattle Theft > 50k,56
2022,11,Whole Island,Cattle Theft > 50k,67
2022,12,Whole Island,Cattle Theft > 50k,78
2022,1,Whole Island,Cheating / Breach of Trust > 300k,154
2022,2,Whole Island,Cheating / Breach of Trust > 300k,158
2022,3,Whole Island,Cheating / Breach of Trust > 300k,167
2022,4,Whole Island,Cheating / Breach of Trust > 300k,166
2022,5,Whole Island,Cheating / Breach of Trust > 300k,221
2022,6,Whole Island,Cheating / Breach of Trust > 300k,230
2022,7,Whole Island,Cheating / Breach of Trust > 300k,206
2022,8,Whole Island,Cheating / Breach of Trust > 300k,199
2022,9,Whole Island,Cheating / Breach of Trust > 300k,190
2022,10,Whole Island,Cheating / Breach of Trust > 300k,175
2022,11,Whole Island,Cheating / Breach of Trust > 300k,214
2022,12,Whole Island,Cheating / Breach of Trust > 300k,259
2022,1,Whole Island,Counterfeiting Currency,2
2022,2,Whole Island,Counterfeiting Currency,2
2022,3,Whole Island,Counterfeiting Currency,2
2022,4,Whole Island,Counterfeiting Currency,4
2022,5,Whole Island,Counterfeiting Currency,4
2022,6,Whole Island,Counterfeiting Currency,4
2022,7,Whole Island,Counterfeiting Currency,4
2022,8,Whole Island,Counterfeiting Currency,2
2022,9,Whole Island,Counterfeiting Currency,2
2022,10,Whole Island,Counterfeiting Currency,2
2022,11,Whole Island,Counterfeiting Currency,4
2022,12,Whole Island,Counterfeiting Currency,4
2022,1,Whole Island,Cruelty to Children,5
2022,2,Whole Island,Cruelty to Children,5
2022,3,Whole Island,Cruelty to Children,7
2022,4,Whole Island,Cruelty to Children,6
