year,district,crime_type,crime_count
2022,Whole Island,Abduction,582
2022,Whole Island,Agriculture Theft > 50k,52
2022,Whole Island,Arson,509
2022,Whole Island,Attempt to Murder,113
2022,Whole Island,Cattle Theft > 50k,726
2022,Whole Island,Cheating / Breach of Trust > 300k,2339
2022,Whole Island,Counterfeiting Currency,36
2022,Whole Island,Cruelty to Children,83
2022,Whole Island,Extortions,86
2022,Whole Island,Grave Sexual Abuse,571
2022,Whole Island,Grievous Hurt,923
2022,Whole Island,House Breaking,8645
2022,Whole Island,Human Trafficking,10
2022,Whole Island,Illegal Firearms,27
2022,Whole Island,Kidnapping,174
2022,Whole Island,Mischief > 50k,532
2022,Whole Island,Murder,559
2022,Whole Island,Narcotic Drugs,8268
2022,Whole Island,Obstructing Police,170
2022,Whole Island,Offences Against The State,0
2022,Whole Island,Offensive Weapons Act,169
2022,Whole Island,Property Theft > 50k,5404
2022,Whole Island,Rape (Adult),257
2022,Whole Island,Robbery,3065
2022,Whole Island,Sexual Exploitation Of Children,25
2022,Whole Island,Statutory Rape (Consensual),1391
2022,Whole Island,Statutory Rape (Non-consensual),338
2022,Whole Island,Unlawful Assembly/ Riot,210
2022,Whole Island,"Voluntarily Causing Hurt By Dangerous
Weapons",1888
2023,Anurdhapura,Abduction,25
2023,Anurdhapura,Agriculture Theft > 50k,9
2023,Anurdhapura,Arson,34
2023,Anurdhapura,Attempt to Murder,9
2023,Anurdhapura,Cattle Theft > 50k,121
2023,Anurdhapura,Cheating / Breach of Trust > 300k,176
2023,Anurdhapura,Counterfeiting Currency,1
2023,Anurdhapura,Cruelty to Children,1
2023,Anurdhapura,Extortions,2
2023,Anurdhapura,Grave Sexual Abuse,45
2023,Anurdhapura,Grievous Hurt,76
2023,Anurdhapura,House Breaking,563
2023,Anurdhapura,Human Trafficking,0
2023,Anurdhapura,Hurt by Dangerous Weapons,113
2023,Anurdhapura,Illegal Firearms,2
2023,Anurdhapura,Kidnapping,8
2023,Anurdhapura,Mischief > 50k,25
2023,Anurdhapura,Murder,19
2023,Anurdhapura,Narcotic Drugs,117
2023,Anurdhapura,Obstructing Police,15
2023,Anurdhapura,Offences Against The State,0
2023,Anurdhapura,Offensive Weapons Act,1
2023,Anurdhapura,Property Theft > 50k,426
2023,Anurdhapura,Rape (Adult),16
2023,Anurdhapura,Robbery,258
2023,Anurdhapura,Sexual Exploitation Of Children,0
2023,Anurdhapura,Statutory Rape (Consensual),70
2023,Anurdhapura,Statutory Rape (Non-consensual),27
2023,Anurdhapura,Unlawful Assembly/ Riot,2
2023,Ccd,Abduction,0
2023,Ccd,Agriculture Theft > 50k,0
2023,Ccd,Arson,0
2023,Ccd,Attempt to Murder,0
2023,Ccd,Cattle Theft > 50k,0
2023,Ccd,Cheating / Breach of Trust > 300k,31
2023,Ccd,Counterfeiting Currency,0
2023,Ccd,Cruelty to Children,0
2023,Ccd,Extortions,4
2023,Ccd,Grave Sexual Abuse,0
